Padrão,Frase,Nome da Música,Nome do Artista,Gênero Musical,Letra da Música,Categoria,Sentimento
ficar_parecer_tornar,eu vou ficar doidão,Doidão,Taty e Vitor,sertanejo,Se for pra cantar. vou cantar pra você. falar em casar. só se for com você. se for pra divertir. quero ser sua diversão. mas se você der mole haann. eu vou ficar doidão. eu vou contar estrelas. e correr para o mar. festejar cada segundo oww. e de você provar. passar a vida. cuidando de você. e te dar todo carinho. que merece ter,Emoção,Negativo
sujeitoauxadjetivo,eu sou sincera,Eu Te Esperarei (Yo Te Esperaré),Thaeme e Thiago,sertanejo,"Eu te esperarei. E sentaremos juntos frente ao mar. E de mãos dadas vamos caminhar. Mesmo que passe toda a minha vida eu te esperarei. E nos teus olhos ainda existe amor. E seu olhar disse eu voltarei. Mesmo que passe toda a minha vida eu te esperarei. Sem me dar conta eu regresso, paro e penso. E eu confesso, espero que o perdão esteja em sua mente. Por isso rezo. Eu sou sincera, e eu prometo, não me olha. Depois que abrir essa porta. Aí eu digo: Se for, não volta. E sete de setembro a tua amiga me ligou me dizendo. Que você estava morando perto dela. E eu confesso. Eu só queria te ver, ficar com você. Pra te dizer, pra te dizer. Eu te esperarei. E sentaremos juntos frente ao mar. E de mãos dadas vamos caminhar. Mesmo que passe toda a minha vida eu te esperarei. E nos teus olhos ainda existe amor. E seu olhar disse eu voltarei. Mesmo que passe toda a minha vida eu te esperarei. Não quero nada. Sigo cantando com a luz apagada. Porque a guerra me tirou seu olhar. Mesmo que passe toda a minha vida eu te esperarei. E nos teus olhos ainda existe amor. E seu olhar disse eu voltarei. Mesmo que passe toda a minha vida eu te esperarei. Mesmo que passe toda a minha vida eu te esperarei",Caráter,Positivo
ficar_parecer_tornar,eu tô ficando cega,Deserto,Thaeme e Thiago,sertanejo,"Vou construir um edifício. No meio do seu deserto. Pra ver se chego perto. De ter sua atenção. Vou enfeitar seu jardim. Com rosas de algodão. Vou regar com lágrimas de sangue. Sem tua atenção. Oh oh oh oh oh oh oh. Eu tô pintando a sua cara. Em cada rosto por esse universo. Pra te fazer tá perto. Em qualquer situação. Eu tô te vendo em todo mundo. Acho mesmo que eu tô ficando cega. Pode me chamar de louca. Mas isso me faz bem. Ouvi tua voz. Te vi chegar. Eu te abracei. Sem te tocar. Eu tô ficando louca, mas isso me faz bem. Ouvi tua voz. Te vi chegar. Eu te abracei. Sem te tocar. Eu tô ficando louca, mas isso me faz bem. Oh oh oh oh oh oh oh. Eu tô pintando a sua cara. Em cada rosto por esse universo. Pra te fazer tá perto. Em qualquer situação. Eu tô te vendo em todo mundo. Acho mesmo que eu tô ficando cega. Pode me chamar de louca. Mas isso me faz bem. Ouvi tua voz. Te vi chegar. Eu te abracei. Sem te tocar. Eu tô ficando louca, mas isso me faz bem. Ouvi tua voz. Te vi chegar. Eu te abracei. Sem te tocar. Eu tô ficando louca, mas isso me faz bem. Vou enfeitar seu jardim. Com rosas de algodão. Vou regar com lágrimas de sangue. Sem tua atenção. Eu guiei até o fim. Mesmo sem ter direção. Porque prometi pra mim. Meus pés vão tocar seu chão. Oh oh oh oh oh oh oh. Vou construir um edifício. No meio do seu deserto",Neutro,Neutro
ficar_parecer_tornar,eu tô ficando louca,Deserto,Thaeme e Thiago,sertanejo,"Vou construir um edifício. No meio do seu deserto. Pra ver se chego perto. De ter sua atenção. Vou enfeitar seu jardim. Com rosas de algodão. Vou regar com lágrimas de sangue. Sem tua atenção. Oh oh oh oh oh oh oh. Eu tô pintando a sua cara. Em cada rosto por esse universo. Pra te fazer tá perto. Em qualquer situação. Eu tô te vendo em todo mundo. Acho mesmo que eu tô ficando cega. Pode me chamar de louca. Mas isso me faz bem. Ouvi tua voz. Te vi chegar. Eu te abracei. Sem te tocar. Eu tô ficando louca, mas isso me faz bem. Ouvi tua voz. Te vi chegar. Eu te abracei. Sem te tocar. Eu tô ficando louca, mas isso me faz bem. Oh oh oh oh oh oh oh. Eu tô pintando a sua cara. Em cada rosto por esse universo. Pra te fazer tá perto. Em qualquer situação. Eu tô te vendo em todo mundo. Acho mesmo que eu tô ficando cega. Pode me chamar de louca. Mas isso me faz bem. Ouvi tua voz. Te vi chegar. Eu te abracei. Sem te tocar. Eu tô ficando louca, mas isso me faz bem. Ouvi tua voz. Te vi chegar. Eu te abracei. Sem te tocar. Eu tô ficando louca, mas isso me faz bem. Vou enfeitar seu jardim. Com rosas de algodão. Vou regar com lágrimas de sangue. Sem tua atenção. Eu guiei até o fim. Mesmo sem ter direção. Porque prometi pra mim. Meus pés vão tocar seu chão. Oh oh oh oh oh oh oh. Vou construir um edifício. No meio do seu deserto",Caráter,Negativo
sujeitoadjetivo,eu tão carente,Parei,Ronny e Rangel,sertanejo,"Parei, de ficar andando por ai sem rumo. Descobri em seu olhar um novo mundo. Ela soube mesmo me fazer mudar. Parei, Só eu sei o quanto ta melhor pra mim. De dormir sozinho não tô mais afim. A felicidade veio me encontrar. Ela é tão envolvente e eu tão carente. De um colo, de um carinho de um cobertor. Hoje sou feliz. Ela é tudo que eu mais quis. Meu sonho de consumo meu eterno amor. REFR.. Eu sou dela e daí. Assinei a minha exclusividade. Chega de andar caçando na cidade. Alguém que sempre vai antes do amanhecer. Eu sou dela e daí. Ela tem a senha dos meus sentimentos. Já pensei até no nosso casamento. Com ela uma vida é pouco pra viver. Parei...",Emoção,Negativo
sujeitoauxadjetivo,eu sou louca,Vem Cá Meu Nego,Rosélia Sousa Oliveira,sertanejo,"3 (bis) venha cá meu nego venha beijar à minha boca. Bicho da boca loca, tesão charmoso, bicho da boca loca. Tesão charmoso eu sou louca pra beijar á sua boca. 3 (bis) venha seu meu amor me fazer mulher. Vem sentir que. Estou na tua área, negão danado safado. Bicho da boca loca. Quando eu te pegar, você vaí ver do que eu sou capaz. Vou te deixar de cama, fazer suar sua roupa toda. Você vai ver bichinho",Caráter,Negativo
sujeitoauxadjetivo,eu estou apaixonada,Cabocla Bonita,Sérgio Reis,sertanejo,"Acordei de manhãzinha regulando as quatro e meia. Arriei a mula preta que tem por nome baleia. Eu saí cortando estrada tombando os bancos de areia. Eu saí na lua nova, só voltei na lua cheia. Quando foi de tardezinha regulando as cinco e meia. Eu cheguei numa fazenda do seu Tonico Gouveia. Veio uma cabocla bonita, cabelo que relampeia. Danado forma cachinho toda vez que ela penteia. Ela me falou contente: -Moço por que não apeia. Hoje você faz o pouso, amanhã cê faz a ceia. De tarde nós vai pra reza na capela lá da aldeia. Da volta do estradão no caminho nóis proseia. Conversamos muito tempo em assuntos que galanteia. Peguei naqueles cabelo que com pouca coisa ondeia. Se quiser fugir comigo minha mula não troteia. Quem pular na nossa frente meu revolver bombardeia. Seu moço vamos simbora nem que a coisa fique feia. Eu estou apaixonada, por você meu peito anseia. Botei ela ma garupa apertei bem a correia. Hoje eu tenho no meu rancho quem comigo se emparelha",Emoção,Positivo
sujeitoauxadjetivo,eu tô bem mais forte,Inimigo Invisível,Nx Zero,rock,"Kurupt:. Nx...zero, Nx... Nx... zero. Here Kurupt, young gotti, wat up?. What's up world?. Let me tell you something, gonna teach you all a lesson... About life... Listen.... Inside myself, I find myself. Hidden from the rainy world, with no help. Nobody else, nobody else. Is just me 'bout myself, paying like whelps. Stepping into the chain, fulfill my anger. Fears no one, I'm no strange to the danger. A deathly concussion, playing with fire mixed with oxygen. Cause this will make it all spread. When everybody else in the building is dead, yeah. I see, is no discussion. It's all consequences of repercutions. Don't make the swore like Lotus. Cause all you all got, yall, tear your motives. Yeah, the invisible enemy. Sometimes we're our own invisible enemy. The invisible frenemy. Everybody act like they all be friend of me. They got this hoax tendencies. Make me wanna surround like ""there's the enemy"". The beginning, the end of me, everything is blurry. Necessary to shoot and leave in a hurry. It's been an eternity, trying to figure out my life, like. What's life like, when the dark has win the light, light.... Nx Zero:. Afogue suas mágoas (the invisible enemies). Em suas próprias mentiras (the invisible frenemy). Depois de cada erro vem você dizer.. Marcelo D2:. Ok, Ok.. Na lata e na pressão é meu estilo. Você tem problema ok. Eu também tenho e aquilo. ""Cê"" tem medo de que? ""Cê"" tem fome de que?. O mundo na real tá cagando pra você. Então, se o mundo é nosso e o raciocínio é lógico. Mostrou medo pros cães, perdeu no psicológico.. O que tem pra perder, nasceu foi pra viver,. Isso tudo não é nosso, quer levar vai se fuder. Já era não tem conversa se tá na chuva é, é melhor tu ter pressa. Alguns só são felizes com dinheiro na mão,. E outros negando isso sentem satisfação.. A vida não aceita nego ""dedo de seta"", então vai,. Então vai por mim faça a coisa certa.. Eu sei que não tá fácil irmão, nem tudo vem na nossa mão, então.... PMC:. Ideia vai, ideia vem, vem que vem depressa é.. E eu não preciso de promessa.. Manda quem pode obedece quem tem medo.. Eu risco do caderno toda a sensação de medo.. E aí?. Joga a carta na mesa, tenta a sorte,. O jogo é meu, hoje eu tô bem mais forte.. E eu sigo em frente corrido no paralelo,. Seu vento muito fraco não derruba meu castelo.. Um isqueiro, um pavil, você tá na mira, você pira. E afoga sua mágoa na mentira.. Então bola na grade e aí, qual que vai ser,. Depois de cada erro o que que tu vai dizer?. Dormi no teu barulho e acordei assustado,. Várias neuroses e uns papo furado. Atrás do buraco vai ficar na mira,. Afoga sua mágoa na própria mentira.. Nx Zero:. (Yeah) Muitos não sabem de onde vem.. E outros nem sabem pra onde vão.. (Aham aham). Não se contentam com o pouco que tem.. (Uh) E outros simplesmente lavam suas mãos.. (Yeah. yeah. yeah). E outros simplesmente lavam suas mãos.. (Yeah. yeah. yeah). E outros simplesmente lavam suas mãos.. Afogue suas mágoas (the invisible enemies). Em suas próprias mentiras (the invisible frenemy). Depois de cada erro vem você dizer.. Marcelo D2:. Nossos erros são nossos, são nossos, cê tem que saber. O ódio que cê manda a todo mundo volta pra você.. Mi:. Cai, cai.... Agora é você que cai.. Que se foda se você não me acompanha mais.. Foi-se o tempo que tudo era perfeito.. E eu pedi à Deus para me tirar desse tormento.. Bang, bang, é mais um que caiu. Outra alma subiu e o mundo se fez.. Por caminhos e histórias, vitórias e glórias. Hoje eu dedico tudo isso pra vocês",Aparência,Positivo
sujeitoauxadjetivo,eu sou cigana,Menino Bonito,Mutantes,rock,"C C7+ F C/G E/G#. Lindo, e eu me sinto enfeitiçada. Am. Correndo perigo. F G C C7+. Seu olhar é simplesmente lindo. F C/G E/G#. Mas também não diz mais nada. Am. Menino bonito. F G C. E então quero olhar você. E/G# Am. E depois ir embora. F G C. Sem dizer o porquê. E/G# Am A9 Am. Eu sou cigana. F G C C7+. Basta olhar pra você",Papel Social,Neutro
sujeitoauxadjetivo,eu sou alegre,A Voz do Morto,Mutantes,rock,"Estamos aqui no tablado. Feito de ouro e prata. De filós de nylon. Eles querem salvar as glórias nacionais. As glórias nacionais, coitados. Ninguém me salva. Ninguém me engana. Eu sou alegre. Eu sou contente. Eu sou cigana. Eu sou terrível. Eu sou o samba. A voz do morto. Os pés do torto. O cais do porto. A vez do louco. A paz do mundo. Na Glória!. Eu canto com o mundo que roda. Eu e o Paulinho da Viola. Viva o Paulinho da Viola!. Eu canto com o mundo que roda. Mesmo do lado de fora. Mesmo que eu não cante agora. Ninguém me atende. Ninguém me chama. Mas ninguém me prende. Ninguém me engana. Eu sou valente. Eu sou o samba. A voz do morto. Atrás do muro. A vez de tudo. A paz do mundo. Na Glória!",Emoção,Positivo
sujeitoauxadjetivo,eu sou cigana,A Voz do Morto,Mutantes,rock,"Estamos aqui no tablado. Feito de ouro e prata. De filós de nylon. Eles querem salvar as glórias nacionais. As glórias nacionais, coitados. Ninguém me salva. Ninguém me engana. Eu sou alegre. Eu sou contente. Eu sou cigana. Eu sou terrível. Eu sou o samba. A voz do morto. Os pés do torto. O cais do porto. A vez do louco. A paz do mundo. Na Glória!. Eu canto com o mundo que roda. Eu e o Paulinho da Viola. Viva o Paulinho da Viola!. Eu canto com o mundo que roda. Mesmo do lado de fora. Mesmo que eu não cante agora. Ninguém me atende. Ninguém me chama. Mas ninguém me prende. Ninguém me engana. Eu sou valente. Eu sou o samba. A voz do morto. Atrás do muro. A vez de tudo. A paz do mundo. Na Glória!",Papel Social,Neutro
sujeitoauxadjetivo,eu tô doida,Vem Em Min Que Eu To Fassim Fassim,Mariana Rios,pop,todo mundo tá dançando na minha festa. por isso sou a melho rainha da festa. então vem que eu tô fácil fácil. vem que eu tô doida pra da um beijo um beijo um beijo so mas um beijo beijo e quero ..2x. eu faço tudo só pra te dar um beijo. so pra te dar eum beijo .... vem que eu tô fácil fácil...,Caráter,Negativo
sujeitoauxadjetivo,eu sou magra,Sou Mais Eu,Mariana Rios,pop,"Hoje eu vou ser a dona da festa. eu sou vip eu sou chic. vou ficar a vontade. não me ligue, da um tempo. se quiser deixa recado. você, me dá preguiça olha para coisinha. tô bege, tô bege, tô rosa com que eu estou vendo. uma bolona reco reco e uma vara de marmelo. mil vezes pobre sai pra lá eu não te agüento. eu sou magra e glamurosa. você tá completamente!. refrão:. eu, eu sou mais eu .. eu sou mais eu, eu sou rica e poderosa. eu, eu sou mais eu .. eu sou mais eu, eu sou linda e gostosa. a fubazada fica toda com inveja. e o Deus grego tá babando nos meus pés. lá, lá la la la la",Aparência,Negativo
sujeitoauxadjetivo,eu sou rica,Sou Mais Eu,Mariana Rios,pop,"Hoje eu vou ser a dona da festa. eu sou vip eu sou chic. vou ficar a vontade. não me ligue, da um tempo. se quiser deixa recado. você, me dá preguiça olha para coisinha. tô bege, tô bege, tô rosa com que eu estou vendo. uma bolona reco reco e uma vara de marmelo. mil vezes pobre sai pra lá eu não te agüento. eu sou magra e glamurosa. você tá completamente!. refrão:. eu, eu sou mais eu .. eu sou mais eu, eu sou rica e poderosa. eu, eu sou mais eu .. eu sou mais eu, eu sou linda e gostosa. a fubazada fica toda com inveja. e o Deus grego tá babando nos meus pés. lá, lá la la la la",Papel Social,Positivo
sujeitoauxadjetivo,eu sou linda,Sou Mais Eu,Mariana Rios,pop,"Hoje eu vou ser a dona da festa. eu sou vip eu sou chic. vou ficar a vontade. não me ligue, da um tempo. se quiser deixa recado. você, me dá preguiça olha para coisinha. tô bege, tô bege, tô rosa com que eu estou vendo. uma bolona reco reco e uma vara de marmelo. mil vezes pobre sai pra lá eu não te agüento. eu sou magra e glamurosa. você tá completamente!. refrão:. eu, eu sou mais eu .. eu sou mais eu, eu sou rica e poderosa. eu, eu sou mais eu .. eu sou mais eu, eu sou linda e gostosa. a fubazada fica toda com inveja. e o Deus grego tá babando nos meus pés. lá, lá la la la la",Aparência,Positivo
vozpassiva,eu estava apenas sendo usada,Thanx 4 Nothin ( Traduzida ),Mariah Carey,pop,"Oh, oh, oh, oh, oh, oh, oh. Obrigada por nada. Você estava apenas jogando um jogo. Eu nem sei o que dizer. Estou machucada, fui enganada. E estou tão envergonhada. Eu nem consigo chorar,. É tão profundo assim. Você só mente e trai. Como se não fosse nada. Veja, você disse que me amava também. E então acreditei em você. Mas acho que subconscientemente eu sabia. Mas não queria encarar a verdade. Que eu estava apenas sendo usada. E você estava apenas me enfrentando. Ei garoto, obrigada por nada. Eu nunca soube o suficiente sobre você, querido. E acho que só tenho a mim para culpar. Agora estou com o coração partido e em pedaços. Porque você estava apenas jogando um jogo. Ninguém podia fazer nada para me convencer, querido. Eu estava vivendo uma mentira, apenas um disfarce. Agora eu apenas sei que nunca serei a mesma. Mas você estava apenas jogando um jogo. Oh, oh, oh, oh, oh, oh, oh. Obrigada por nada. Você estava apenas jogando um jogo. Todo dia e toda noite. Eu fico esperando perto do telefone. Nunca vou a lugar algum apenas no caso. De você ligar eu estar em casa. Parece que o que eu faço é. Pensar em nosso pseudo-romance. Enquanto você está em algum lugar. Queimando combustível nas ruas, rindo. Alguém me diz que você sabe o que estou passando. Que foi deixado com nada também. Tanto que não pode contar com uma mão. Cantando 3,4,5,6. 7 dias na semana você está se afogando em lágrimas. Ele foi tão falso. Agora você está deitada na cama. Toda noite, cantando. ""Ei garoto, obrigada por nada"". Eu nunca soube o suficiente sobre você, querido. E acho que só tenho a mim para culpar. Agora estou com o coração partido e em pedaços. Porque você estava apenas jogando um jogo. Ninguém podia fazer nada para me convencer, querido. Eu estava vivendo uma mentira, apenas um disfarce. Agora eu apenas sei que nunca serei a mesma. Mas você estava apenas jogando um jogo. Oh, oh, oh, oh, oh, oh, oh. Então obrigada por nada",Neutro,Neutro
sujeitoauxadjetivo,eu sou correta,Fácil de Levar,Mariana Rios,pop,Diga pra mim. que você também sente saudades. fala pra mim que o seu tempo. é diferente do meu. e me cala com esse seu jeito que às vezes incomoda. mas que no fundo eu gosto. Leia os meus pensamentos. atenda a todos meus pedidos. proclame uma nova regra. só assim você me ganha. aprenda a seguir meu rastro. entenda a ouvir meu grito. surpreenda com uma coisa nova. porque se não você me cansa. Eu gosto de uma forma certa. de um jeito certo. eu sou correta. aprenda a ter cuidado. eu sou fácil de levar. Da mesma forma que eu sou um riso. eu viro um vício pra você. então tente entender. não me faça desistir. Leia os meus pensamentos. atenda a todos meus pedidos. proclame uma nova regra. só assim você me ganha. aprenda a seguir meu rastro. entenda a ouvir meu grito. surpreenda com uma coisa nova. porque se não você me cansa. Eu gosto de uma forma certa. de um jeito certo. eu sou correta. aprenda a ter cuidado. eu sou fácil de levar. Da mesma forma que eu sou um riso. eu viro um vício pra você. então tente atender. não me faça desistir. Diga pra mim. que você também sente saudades. fala pra mim que o seu tempo. é diferente do meu. e me cala com esse seu jeito que às vezes incomoda. mas que no fundo eu gosto. Eu gosto de uma forma certa. de um jeito certo. eu sou correta. aprenda a ter cuidado. eu sou fácil de levar. Da mesma forma que eu sou um riso. eu viro um vício pra você. então tente atender. não me faça desistir. By:*KB*,Caráter,Positivo
sujeitoauxadjetivo,eu tô cansada,Você Tá Namorando,Manu Gavassi,pop,"Eu tô cansada dessas músicas de amor. É tudo pura ilusão. Elas não falam do buraco que você deixou. Dentro do meu coração. Eu sei que ainda não entendo. Minhas amigas falam que eu gosto de sofrer. Tá cada vez mais velha essa história de nós dois. E eu não consigo esquecer. Eu sei, você tá namorando. E eu não sei por que. Não consigo achar ninguém. Pra fazer que nem você. É que pra mim não é tão fácil. Fingir que eu superei. Acho que eu não sei mentir bem. Se não for você. Eu não quero ninguém. O tempo passa e as coisas mudam. Você faz graça e eu prefiro ignorar. É que não vale a pena acreditar sempre em você. Então eu vou deixar pra lá. Mas agora eu já aprendi. E dessa vez eu sei que eu não me engano. Não vou me iludir, só vou esperar a gente crescer. Te vejo daqui mais alguns anos. Eu sei, você tá namorando. E eu não sei por que. Não consigo achar ninguém. Pra fazer que nem você. É que pra mim não é tão fácil. Fingir que eu superei. Acho que eu não sei mentir bem. Se não for você. Eu não quero ninguém",Emoção,Negativo
sujeitoauxadjetivo,eu sou grandinha,Tudo Que Eu Quiser - Yeah !,Manu Gavassi,pop,"Na na na na.... O sol se põe lá fora e eu já sei,. O que isso quer dizer. Eu vou pintar as unhas e sair,. Quem sabe encontro até você. Se eu não for é porque eu decidi. Não tem ninguém aqui que vai me impedir. Eu não vou, não vou, não vou. Não vou ouvir nenhuma opinião. Yeah!. Eu olho em volta e essa noite todo mundo. sabe o que quer. Yeah!. Então me entende e sai da frente,. Eu sou grandinha. E faço tudo o que eu quiser. Se eu tivesse uma lista. De tudo o que quero ver. Não sei se caberia mas sei. Que o primeiro item é você. Sexta à noite eu vou sair. Unha preta, muito glitter eu vou me divertir. Eu não vou, não vou, não vou. Não vou ouvir nenhuma opinião. Yeah!. Eu olho em volta e essa noite todo mundo. Sabe o que quer. Yeah!. Então me entende e sai da frente,. Eu sou grandinha. E faço tudo. Yeah!. Eu olho em volta e essa noite todo mundo. Sabe o que quer. Yeah!. Então me entende e sai da frente,. Eu sou grandinha. E faço tudo o que eu quiser. Te vejo e até paro de dançar. Peço pra essa noite nunca terminar. Yeah, Yeah,Yeah! nunca terminar, não. Yeah!. Eu olho em volta e essa noite todo mundo. Sabe o que quer. Yeah!. Então me entende e sai da frente,. Eu sou grandinha. E faço tudo o que eu quiser. Yeah!. Eu olho em volta e essa noite todo mundo. Sabe o que quer. Yeah!. Então me entende e sai da frente,. Eu sou grandinha. E faço tudo o que eu quiser",Aparência,Negativo
sujeitoauxadjetivo,eu não sou tão boba,Você Já Deveria Saber,Manu Gavassi,pop,"Parabéns você fez tudo certo. Realmente um garotinho muito esperto. Só errou por que eu descobri. (Yeah). Por quanto tempo você achou. Que iria me enganar. Eu não sou tão boba. Então você já pode parar. Continue escrevendo suas musiquinhas. Quem será a próxima a acreditar. Te vendo assim como você é. Nem me dá vontade de chorar. Acho que você se confundiu. E errou de profissão. Por que você não larga os palcos. E é tão bom na atuação. (Refrão). Quando ele te mandar flores. Não se iluda você não é a única. Quando ele escrever canções pra você. A minha dica é correr. Ele vai fazer você acreditar que ele nunca está. Por que tadinho ele é tão ocupado. Mas logo você vai perceber. Que deve ser mesmo difícil. Arranjar tempo pra todas e pra você. Parabéns você fez tudo certo,. Dessa vez passou muito perto. Eu já estava começando a acreditar. (Hum). É difícil imaginar que existe alguém assim. Ainda bem que eu descobri pra dar logo um fim. Continue com essa cara de bonzinho eu prometo. Que muitas ainda vão cair. Será que quando você. Pensa nisso você ri. Continue no seu mundinho colorido. Iludindo as pessoas sem se arrepender. Mas agora eu sei a verdade. E todo mundo vai saber. (Refrão). Quando ele te mandar flores. Não se iluda você não é a única. Quando ele escrever canções pra você. A minha dica é correr. Ele vai fazer você acreditar que ele nunca está. Por que tadinho ele é tão ocupado. Mas logo você vai perceber. Que deve ser mesmo difícil. Arranjar tempo pra todas. E eu bato palmas pra você. Não deve ser tão fácil. Enganar alguém assim. Você já deveria saber. Que eu não sou tão tonta. Quanto elas devem ser. (Refrão). Quando ele te mandar flores. Não se iluda você não é a única. Quando ele escrever canções pra você. A minha dica é correr. Ele vai fazer você acreditar que ele nunca está. Por que tadinho ele é tão ocupado. Mas logo você vai perceber. Que deve ser mesmo difícil. Arranjar tempo pra todas, pra todas, pra todas e pra você",Caráter,Negativo
sujeitoauxadjetivo,eu não sou tão tonta,Você Já Deveria Saber,Manu Gavassi,pop,"Parabéns você fez tudo certo. Realmente um garotinho muito esperto. Só errou por que eu descobri. (Yeah). Por quanto tempo você achou. Que iria me enganar. Eu não sou tão boba. Então você já pode parar. Continue escrevendo suas musiquinhas. Quem será a próxima a acreditar. Te vendo assim como você é. Nem me dá vontade de chorar. Acho que você se confundiu. E errou de profissão. Por que você não larga os palcos. E é tão bom na atuação. (Refrão). Quando ele te mandar flores. Não se iluda você não é a única. Quando ele escrever canções pra você. A minha dica é correr. Ele vai fazer você acreditar que ele nunca está. Por que tadinho ele é tão ocupado. Mas logo você vai perceber. Que deve ser mesmo difícil. Arranjar tempo pra todas e pra você. Parabéns você fez tudo certo,. Dessa vez passou muito perto. Eu já estava começando a acreditar. (Hum). É difícil imaginar que existe alguém assim. Ainda bem que eu descobri pra dar logo um fim. Continue com essa cara de bonzinho eu prometo. Que muitas ainda vão cair. Será que quando você. Pensa nisso você ri. Continue no seu mundinho colorido. Iludindo as pessoas sem se arrepender. Mas agora eu sei a verdade. E todo mundo vai saber. (Refrão). Quando ele te mandar flores. Não se iluda você não é a única. Quando ele escrever canções pra você. A minha dica é correr. Ele vai fazer você acreditar que ele nunca está. Por que tadinho ele é tão ocupado. Mas logo você vai perceber. Que deve ser mesmo difícil. Arranjar tempo pra todas. E eu bato palmas pra você. Não deve ser tão fácil. Enganar alguém assim. Você já deveria saber. Que eu não sou tão tonta. Quanto elas devem ser. (Refrão). Quando ele te mandar flores. Não se iluda você não é a única. Quando ele escrever canções pra você. A minha dica é correr. Ele vai fazer você acreditar que ele nunca está. Por que tadinho ele é tão ocupado. Mas logo você vai perceber. Que deve ser mesmo difícil. Arranjar tempo pra todas, pra todas, pra todas e pra você",Emoção,Negativo
sujeitoauxadjetivo,"eu sendo, um pouco estranha",Odeio,Manu Gavassi,pop,"Eu odeio o seu sorriso, e seu jeito de falar. Eu odeio quando você me olha, e eu dou risada sem pensar. Eu odeio quando você me chama para conversar. Eu odeio quando você vem, e odeio mais ainda te esperar. Eu não sei o que fazer. Não tem ninguém aqui pra me impedir de te escrever. Outra canção pra me fazer entender. Que eu te odeio tanto porque gosto de você. Eu nunca acreditei que era mesmo pra valer. Eu nunca admiti que me importava com você. Agora tanto faz não quero mais me esconder. Estou falando na sua frente que eu te odeio. Por gostar tanto assim de você. Eu odeio dar conselhos que você nem vai usar. Eu odeio quando você fala dela e eu finjo não ligar. Eu odeio ver você com alguém que não tem nada a ver. Eu odeio ela ser tão sem graça. E você nem perceber. Eu não sei o que fazer. Não tem ninguém aqui pra me impedir de te escrever. Outra canção pra me fazer entender. Que eu te odeio tanto por que gosto de você. Eu nunca acreditei que era mesmo pra valer. Eu nunca admiti que me importava com você. Agora tanto faz não quero mais me esconder. Estou falando na sua frente que eu te odeio. Por gostar tanto assim de você. Você vai acordar um dia e perceber. Que mesmo eu sendo, um pouco estranha do meu jeito. Eu tentei te convencer. Que hoje eu acredito que é mesmo pra valer. Confesso, eu admito que me importo com você. Agora tanto faz não quero mais me esconder. Estou falando na sua frente que eu te odeio. Por gostar tanto assim de você.",Aparência,Negativo
ficar_parecer_tornar,eu estou ficando louca,Eu Me Proíbo,Manu Gavassi,pop,"Eu me proíbo de pensar em você. Porque eu já vivi, sei o que vai acontecer. Eu me proíbo de pensar em você outra vez. Eu te proíbo de passar perto de mim. De me roubar um beijo e me deixar assim. Me perguntando o porquê de algo que não vai mais acontecer. Momentos passam devagar ou rápido demais. Não sei se eu me arrependi ou se eu quero mais. De você. Não, não vá embora se eu pedir. Não, não fale nada fique aqui. Eu sei, não vou saber me acostumar. Se você não está, não, não. Não, não me olhe mais assim. Não, nem pense em não pensar em mim. Eu sei não vou saber me acostumar. Se você não está, não, não. Eu me proíbo de imaginar nós dois. Falando sobre a vida e sobre o depois. Eu me proíbo de querer você aqui. Eu te proíbo de olhar pra mim. Porque eu sou crescida e já conheço o fim. Eu te proíbo de cantar pra mim outra vez. Momentos passam devagar ou rápido demais. Não sei se eu me arrependi ou se eu quero mais. De você. Não, não vá embora se eu pedir. Não, não fale nada fique aqui. E sei, não vou saber me acostumar. Se você não está, não, não. Não, não me olhe mais assim. Não, nem pense em não pensar em mim. Eu sei não vou saber me acostumar. Se você não está, não, não. Eu estou ficando louca. Mais eu escondo bem. Eu procuro um sinal. Mais enquanto ele não vem. Eu te proíbo de passar perto de mim. De me roubar um beijo e me deixar assim. Eu te proíbo de esquecer o que aconteceu",Caráter,Negativo
